id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
32640,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32641,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32642,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32643,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32644,Women Tshirts,8,maroon,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32645,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32646,Women Tshirts,8,pink,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32647,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32648,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32649,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32650,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32651,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32652,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32653,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32654,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32655,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32656,Women Tshirts,8,black,boxy,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32657,Women Tshirts,8,default,boxy,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32658,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32659,Women Tshirts,8,yellow,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32660,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32661,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32662,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32663,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32664,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32665,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32666,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32667,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32668,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32669,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32670,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32671,Women Tshirts,8,default,regular,crop,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32672,Women Tshirts,8,maroon,regular,regular,default,default,default,regular sleeves,zari woven,regular sleeves,no
32673,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32674,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32675,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32676,Women Tshirts,8,maroon,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32677,Women Tshirts,8,black,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32678,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32679,Women Tshirts,8,pink,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32680,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32681,Women Tshirts,8,black,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32682,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32683,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32684,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32685,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32686,Women Tshirts,8,yellow,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32687,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32688,Women Tshirts,8,yellow,loose,long,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32689,Women Tshirts,8,maroon,loose,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32690,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32691,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32692,Women Tshirts,8,pink,boxy,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32693,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32694,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32695,Women Tshirts,8,black,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32696,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32697,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32698,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32699,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32700,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32701,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32702,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32703,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32704,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32705,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32706,Women Tshirts,8,default,boxy,crop,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32707,Women Tshirts,8,default,regular,regular,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32708,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32709,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32710,Women Tshirts,8,black,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32711,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32712,Women Tshirts,8,default,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32713,Women Tshirts,8,black,regular,crop,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32714,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32715,Women Tshirts,8,default,loose,long,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32716,Women Tshirts,8,black,regular,crop,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32717,Women Tshirts,8,yellow,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32718,Women Tshirts,8,yellow,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32719,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32720,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32721,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32722,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32723,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32724,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32725,Women Tshirts,8,yellow,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32726,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32727,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32728,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32729,Women Tshirts,8,black,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32730,Women Tshirts,8,maroon,regular,regular,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32731,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32732,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32733,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32734,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32735,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32736,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32737,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32738,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32739,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32740,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32741,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32742,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32743,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32744,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32745,Women Tshirts,8,default,boxy,regular,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32746,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32747,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32748,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32749,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32750,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32751,Women Tshirts,8,maroon,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32752,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32753,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32754,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32755,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32756,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32757,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32758,Women Tshirts,8,black,regular,regular,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32759,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32760,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32761,Women Tshirts,8,default,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32762,Women Tshirts,8,default,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32763,Women Tshirts,8,default,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32764,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32765,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32766,Women Tshirts,8,default,loose,long,printed,typography,default,regular sleeves,zari woven,regular sleeves,no
32767,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32768,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32769,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32770,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32771,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32772,Women Tshirts,8,default,regular,crop,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32773,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32774,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32775,Women Tshirts,8,pink,loose,long,printed,typography,default,regular sleeves,zari woven,regular sleeves,no
32776,Women Tshirts,8,default,loose,long,printed,typography,default,regular sleeves,zari woven,regular sleeves,no
32777,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32778,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32779,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32780,Women Tshirts,8,default,boxy,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32781,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32782,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32783,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32784,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32785,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32786,Women Tshirts,8,pink,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32787,Women Tshirts,8,yellow,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32788,Women Tshirts,8,maroon,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32789,Women Tshirts,8,pink,boxy,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32790,Women Tshirts,8,black,boxy,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32791,Women Tshirts,8,maroon,loose,long,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32792,Women Tshirts,8,pink,loose,long,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32793,Women Tshirts,8,black,regular,crop,solid,quirky,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32794,Women Tshirts,8,yellow,regular,crop,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32795,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32796,Women Tshirts,8,pink,loose,long,printed,funky print,short sleeves,regular sleeves,zari woven,regular sleeves,no
32797,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32798,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32799,Women Tshirts,8,pink,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32800,Women Tshirts,8,black,regular,regular,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32801,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32802,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32803,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32804,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32805,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32806,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32807,Women Tshirts,8,maroon,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32808,Women Tshirts,8,black,boxy,regular,printed,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32809,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32810,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32811,Women Tshirts,8,pink,loose,long,printed,typography,default,regular sleeves,zari woven,regular sleeves,no
32812,Women Tshirts,8,yellow,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32813,Women Tshirts,8,yellow,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32814,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32815,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32816,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32817,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32818,Women Tshirts,8,maroon,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32819,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32820,Women Tshirts,8,default,boxy,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32821,Women Tshirts,8,pink,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32822,Women Tshirts,8,default,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32823,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32824,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32825,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32826,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,zari woven,regular sleeves,no
32827,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32828,Women Tshirts,8,black,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32829,Women Tshirts,8,black,regular,regular,printed,quirky,default,regular sleeves,zari woven,regular sleeves,no
32830,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32831,Women Tshirts,8,maroon,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32832,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32833,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32834,Women Tshirts,8,yellow,regular,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32835,Women Tshirts,8,maroon,loose,long,solid,solid,short sleeves,regular sleeves,zari woven,regular sleeves,no
32836,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32837,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32838,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32839,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32840,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32841,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32842,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32843,Women Tshirts,8,default,loose,long,printed,quirky,long sleeves,regular sleeves,zari woven,regular sleeves,no
32844,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32845,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32846,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32847,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32848,Women Tshirts,8,yellow,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32849,Women Tshirts,8,black,loose,long,default,default,short sleeves,regular sleeves,zari woven,regular sleeves,no
32850,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32851,Women Tshirts,8,default,regular,crop,printed,funky print,default,regular sleeves,zari woven,regular sleeves,no
32852,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,zari woven,regular sleeves,no
32853,Women Tshirts,8,pink,loose,long,printed,funky print,short sleeves,regular sleeves,zari woven,regular sleeves,no
32854,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
32855,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,regular sleeves,zari woven,regular sleeves,no
32856,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,zari woven,regular sleeves,no
32857,Women Tshirts,8,default,regular,crop,solid,solid,default,regular sleeves,zari woven,regular sleeves,no
32858,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,zari woven,regular sleeves,no
